job,trait
검사,분석적
검사,논리적
검사,꼼꼼함
검사,질서
기업인,리더십
기업인,도전적
마케팅 전문가,리더십
마케팅 전문가,도전적
마케팅 전문가,창의적
마케팅 전문가,표현적
변호사,분석적
변호사,논리적
변호사,꼼꼼함
변호사,질서
세무사,분석적
세무사,논리적
세무사,꼼꼼함
세무사,질서
외교관,리더십
외교관,도전적
은행원,꼼꼼함
은행원,질서
투자 전문가,분석적
투자 전문가,논리적
판사,분석적
판사,논리적
판사,꼼꼼함
판사,질서
회계사,분석적
회계사,논리적
회계사,꼼꼼함
회계사,질서
경찰관,신체활동
경찰관,모험심
경찰관,협동적
경찰관,공감적
구급대원,신체활동
구급대원,모험심
구급대원,협동적
구급대원,공감적
구조대원,신체활동
구조대원,모험심
구조대원,협동적
구조대원,공감적
군인,신체활동
군인,모험심
소방관,신체활동
소방관,모험심
소방관,협동적
소방관,공감적
철도기관사,협동적
철도기관사,공감적
철도기관사,꼼꼼함
철도기관사,질서
항공안전요원,신체활동
항공안전요원,모험심
항공안전요원,협동적
항공안전요원,공감적
해양경찰,신체활동
해양경찰,모험심
해양경찰,협동적
해양경찰,공감적
환경미화원,자연친화
환경미화원,돌봄
환경미화원,꼼꼼함
환경미화원,질서
고고학자,분석적
고고학자,논리적
고고학자,탐구적
과학자,분석적
과학자,논리적
과학자,탐구적
기상학자,분석적
기상학자,논리적
기상학자,탐구적
생물학자,분석적
생물학자,논리적
생물학자,탐구적
엔지니어,분석적
엔지니어,논리적
엔지니어,신체활동
엔지니어,모험심
천문학자,분석적
천문학자,논리적
천문학자,탐구적
프로그래머,분석적
프로그래머,논리적
프로그래머,창의적
프로그래머,표현적
해양학자,분석적
해양학자,논리적
해양학자,탐구적
화학자,분석적
화학자,논리적
화학자,탐구적
교사,협동적
교사,공감적
교사,리더십
교사,도전적
미술치료사,협동적
미술치료사,공감적
사서,꼼꼼함
사서,질서
어린이집 교사,협동적
어린이집 교사,공감적
음악치료사,협동적
음악치료사,공감적
청소년 지도사,협동적
청소년 지도사,공감적
청소년 지도사,리더십
청소년 지도사,도전적
큐레이터,창의적
큐레이터,표현적
큐레이터,꼼꼼함
큐레이터,질서
3D 프린팅 전문가,창의적
3D 프린팅 전문가,표현적
3D 프린팅 전문가,분석적
3D 프린팅 전문가,논리적
건설 엔지니어,신체활동
건설 엔지니어,모험심
건설 엔지니어,분석적
건설 엔지니어,논리적
드론 조종사,신체활동
드론 조종사,모험심
드론 조종사,탐구적
선장,신체활동
선장,모험심
선장,탐구적
용접 기술자,신체활동
용접 기술자,모험심
우주비행사,신체활동
우주비행사,모험심
우주비행사,탐구적
자동차 정비사,신체활동
자동차 정비사,모험심
자동차 정비사,분석적
자동차 정비사,논리적
전기 기술자,분석적
전기 기술자,논리적
전기 기술자,꼼꼼함
전기 기술자,질서
철도 기술자,신체활동
철도 기술자,모험심
항공기 조종사,신체활동
항공기 조종사,모험심
농부,자연친화
농부,돌봄
농부,신체활동
농부,모험심
사육사,자연친화
사육사,돌봄
사육사,신체활동
사육사,모험심
산림 관리인,자연친화
산림 관리인,돌봄
산림 관리인,신체활동
산림 관리인,모험심
수족관 관리사,자연친화
수족관 관리사,돌봄
수족관 관리사,신체활동
수족관 관리사,모험심
양봉가,자연친화
양봉가,돌봄
양봉가,꼼꼼함
양봉가,질서
어부,자연친화
어부,돌봄
어부,신체활동
어부,모험심
원예사,자연친화
원예사,돌봄
원예사,꼼꼼함
원예사,질서
재활용 기술자,자연친화
재활용 기술자,돌봄
재활용 기술자,꼼꼼함
재활용 기술자,질서
환경 과학자,자연친화
환경 과학자,돌봄
환경 과학자,꼼꼼함
환경 과학자,질서
PD,창의적
PD,표현적
PD,리더십
PD,도전적
광고 기획자,창의적
광고 기획자,표현적
광고 기획자,리더십
광고 기획자,도전적
기자,창의적
기자,표현적
기자,리더십
기자,도전적
라디오 DJ,창의적
라디오 DJ,표현적
만화가,창의적
만화가,표현적
스포츠 캐스터,리더십
스포츠 캐스터,도전적
아나운서,창의적
아나운서,표현적
애니메이터,창의적
애니메이터,표현적
유튜버,창의적
유튜버,표현적
카메라 감독,창의적
카메라 감독,표현적
간호사,협동적
간호사,공감적
물리치료사,협동적
물리치료사,공감적
수의사,자연친화
수의사,돌봄
수의사,분석적
수의사,논리적
수의사,협동적
수의사,공감적
심리상담사,분석적
심리상담사,논리적
심리상담사,협동적
심리상담사,공감적
약사,분석적
약사,논리적
약사,꼼꼼함
약사,질서
영양사,분석적
영양사,논리적
영양사,꼼꼼함
영양사,질서
의사,분석적
의사,논리적
의사,협동적
의사,공감적
한의사,분석적
한의사,논리적
한의사,협동적
한의사,공감적
메이크업 아티스트,창의적
메이크업 아티스트,표현적
메이크업 아티스트,서비스지향
바리스타,협동적
바리스타,공감적
바리스타,서비스지향
여행 가이드,협동적
여행 가이드,공감적
여행 가이드,서비스지향
요리사,서비스지향
요리사,창의적
요리사,표현적
웨이터/웨이트리스,협동적
웨이터/웨이트리스,공감적
웨이터/웨이트리스,서비스지향
이벤트 기획자,창의적
이벤트 기획자,표현적
이벤트 기획자,서비스지향
이벤트 기획자,리더십
이벤트 기획자,도전적
제빵사,서비스지향
제빵사,창의적
제빵사,표현적
패션 스타일리스트,창의적
패션 스타일리스트,표현적
패션 스타일리스트,서비스지향
헤어 디자이너,창의적
헤어 디자이너,표현적
헤어 디자이너,서비스지향
호텔리어,협동적
호텔리어,공감적
호텔리어,서비스지향
건축가,창의적
건축가,표현적
게임 디자이너,창의적
게임 디자이너,표현적
디자이너,창의적
디자이너,표현적
디자이너,창의적
디자이너,표현적
뮤지컬 배우,창의적
뮤지컬 배우,표현적
사진작가,창의적
사진작가,표현적
성우,창의적
성우,표현적
영화감독,창의적
영화감독,표현적
조각가,창의적
조각가,표현적
화가,창의적
화가,표현적


